,Video_ID,Title,Published_Date,View_count,Like_count,Comment_count,Duration,Defintion,Caption,Month,Year,Weekday,LikeRatio,Videos_with_Mill,url
0,WgnFgUq_KFw,Cyberpunk 2077 | Release vs. Now (1.6 Patch),2022-09-21,21457,4927,540,PT10M17S,hd,false,9,2022,Wednesday,22.96,0,https://www.youtube.com/watch?v=WgnFgUq_KFw
1,IdrRcPjKYU4,Will GTA Characters Enter a BURNING CAR? (GTA 3 → GTA 5),2022-09-10,140571,12818,714,PT8M1S,hd,false,9,2022,Saturday,9.12,0,https://www.youtube.com/watch?v=IdrRcPjKYU4
2,BbiK1L8e2YQ,"This Makes No Sense, But it&#39;s Hilarious 😂 (GTA 5)",2022-09-09,95161,10179,237,PT23S,hd,false,9,2022,Friday,10.7,0,https://www.youtube.com/watch?v=BbiK1L8e2YQ
3,iyn0FFBItFo,GTA 5 Demolishes Saints Row 5 🔥 (PART 2),2022-08-31,243838,18372,2338,PT10M9S,hd,false,8,2022,Wednesday,7.53,0,https://www.youtube.com/watch?v=iyn0FFBItFo
4,K2Z9POT5ggE,GTA 5 Demolishes Saints Row 5 🔥,2022-08-27,455274,29668,3255,PT9M28S,hd,false,8,2022,Saturday,6.52,0,https://www.youtube.com/watch?v=K2Z9POT5ggE
5,M4YWR6xUCGg,GTA 5 vs. Saints Row 5 | Ultimate Face-Off 🔥,2022-08-24,371418,18506,2055,PT9M50S,hd,false,8,2022,Wednesday,4.98,0,https://www.youtube.com/watch?v=M4YWR6xUCGg
6,UznI0bAp0G0,Which GTA Character is the BEST SHOOTER? 💥,2022-08-22,210302,16401,1115,PT12M43S,hd,false,8,2022,Monday,7.8,0,https://www.youtube.com/watch?v=UznI0bAp0G0
7,CuJ9SHO4fmA,Which GTA Character has the BEST STAMINA? 🏃‍♂️,2022-08-14,300205,22705,1311,PT10M17S,hd,false,8,2022,Sunday,7.56,0,https://www.youtube.com/watch?v=CuJ9SHO4fmA
8,yspeBq6qpIE,Evolution of MOLOTOVS LOGIC in GTA Games! (GTA 3 → GTA 5),2022-08-04,221493,16433,945,PT8M16S,hd,false,8,2022,Thursday,7.42,0,https://www.youtube.com/watch?v=yspeBq6qpIE
9,V_Y4dPtbT3M,How Many RPGs to DESTROY A TANK in GTA Games? (GTA 3 → GTA 5),2022-07-21,178953,12707,664,PT6M36S,hd,false,7,2022,Thursday,7.1,0,https://www.youtube.com/watch?v=V_Y4dPtbT3M
