,Video_ID,Title,Published_Date,View_count,Like_count,Comment_count,Duration,Defintion,Caption,Month,Year,Weekday,LikeRatio,Videos_with_Mill,url
0,EHWQs2v_NS8,I  NEED  YOUR  HELP!,2022-09-15,853021,100858,5256,PT8M6S,hd,true,9,2022,Thursday,11.82,0,https://www.youtube.com/watch?v=EHWQs2v_NS8
1,JXGx3Swvyng,Samsung Z Flip 4 Durability Test!! - they slipped a bit...,2022-09-09,767441,32417,1725,PT9M55S,hd,true,9,2022,Friday,4.22,0,https://www.youtube.com/watch?v=JXGx3Swvyng
2,mpbfZ7Tiqsw,Taking &#39;Not a Wheelchair&#39; to the NEXT LEVEL? - New Shop Tour!,2022-09-07,910238,63848,3287,PT18M12S,hd,true,9,2022,Wednesday,7.01,0,https://www.youtube.com/watch?v=mpbfZ7Tiqsw
3,1C1XpwR55ZY,Samsung Z Fold 4 Teardown! - They changed the Hinge?!,2022-09-02,791083,35630,1657,PT11M35S,hd,true,9,2022,Friday,4.5,0,https://www.youtube.com/watch?v=1C1XpwR55ZY
4,rNeK9LBUF84,I messed this one up....,2022-08-31,673315,31793,1051,PT6M24S,hd,true,8,2022,Wednesday,4.72,0,https://www.youtube.com/watch?v=rNeK9LBUF84
5,RteJVUwzhWs,Samsung Z Fold 4 Durability Test! - Samsung says its &#39;Unbreakable&#39;?!,2022-08-29,1534351,65160,3780,PT9M50S,hd,true,8,2022,Monday,4.25,1,https://www.youtube.com/watch?v=RteJVUwzhWs
6,va7I2r24EnE,Google Pixel 6A Durability Test! - I can feel it...,2022-08-20,691773,32853,1537,PT6M11S,hd,true,8,2022,Saturday,4.75,0,https://www.youtube.com/watch?v=va7I2r24EnE
7,LW2lAlZPlUs,Has OnePlus Fixed their Newest Phone? - Durability Test!,2022-08-17,1033565,46296,3360,PT6M39S,hd,true,8,2022,Wednesday,4.48,1,https://www.youtube.com/watch?v=LW2lAlZPlUs
8,HKsIE2MeLc8,How many LEDs does Nothing have? - Lets Count Together!,2022-08-15,665882,49749,5236,PT14M42S,hd,true,8,2022,Monday,7.47,0,https://www.youtube.com/watch?v=HKsIE2MeLc8
9,EP8BFkZfWIY,Is Nothing hiding Something under the Glass?! - Teardown!,2022-08-12,1316177,121867,2626,PT9M47S,hd,true,8,2022,Friday,9.26,1,https://www.youtube.com/watch?v=EP8BFkZfWIY
10,0qyjuVa18sY,This Gaming Phone gets HOT... in more ways than one.,2022-08-08,480542,25768,1083,PT9M42S,hd,true,8,2022,Monday,5.36,0,https://www.youtube.com/watch?v=0qyjuVa18sY
11,Ro971vwsgPg,Nothing Phone (1) Durability Test! - Here Goes Nothing...,2022-07-30,2585077,89230,2625,PT7M38S,hd,true,7,2022,Saturday,3.45,1,https://www.youtube.com/watch?v=Ro971vwsgPg
12,jmH8v8rY1vY,Its a bit smaller than we expected... - Xiaomi 12s Ultra Camera Sensor Teardown!,2022-07-28,1505921,50377,1934,PT8M43S,hd,true,7,2022,Thursday,3.35,1,https://www.youtube.com/watch?v=jmH8v8rY1vY
13,nihmzNCNcbo,Worlds Largest Smartphone Camera? - Durability Test!,2022-07-23,730441,31103,1854,PT8M13S,hd,true,7,2022,Saturday,4.26,0,https://www.youtube.com/watch?v=nihmzNCNcbo
14,hxf-fIubkMs,The Worlds Most Advanced Wheelchair! - (It Climbs Stairs!?!),2022-07-13,4232225,145892,9579,PT12M4S,hd,true,7,2022,Wednesday,3.45,1,https://www.youtube.com/watch?v=hxf-fIubkMs
15,OO23RTRIVGU,EASIEST Off Grid Solar Power... just like a little Lego,2022-07-06,909043,32636,1500,PT17M52S,hd,true,7,2022,Wednesday,3.59,0,https://www.youtube.com/watch?v=OO23RTRIVGU
16,h_sS1fjfZVY,This Rugged Speaker is made from.... Silk?,2022-07-05,426841,22461,850,PT7M50S,hd,true,7,2022,Tuesday,5.26,0,https://www.youtube.com/watch?v=h_sS1fjfZVY
17,ks86a6Xtvmo,"How to Drive a 60,000 pound Garbage Truck? - (it&#39;s Electric!)",2022-06-30,413395,24418,1268,PT15M15S,hd,true,6,2022,Thursday,5.91,0,https://www.youtube.com/watch?v=ks86a6Xtvmo
18,DsRbD79K8pw,The Invisible Front Camera finally got one thing right...,2022-06-27,1211186,47698,2565,PT8M32S,hd,true,6,2022,Monday,3.94,1,https://www.youtube.com/watch?v=DsRbD79K8pw
19,EhGCurD9P0w,The Worlds LOUDEST Smartphone - Durability Test!,2022-06-18,736123,35632,1488,PT10M7S,hd,true,6,2022,Saturday,4.84,0,https://www.youtube.com/watch?v=EhGCurD9P0w
20,eTsiE3tmnI4,How NOT to get rid of weeds......,2022-06-02,660875,33625,1495,PT11M6S,hd,true,6,2022,Thursday,5.09,0,https://www.youtube.com/watch?v=eTsiE3tmnI4
21,uNP5o8dLja4,I&#39;ve Driven my Rivian 1500 Miles! - And something already broken...,2022-05-31,2889354,85258,6377,PT14M45S,hd,true,5,2022,Tuesday,2.95,1,https://www.youtube.com/watch?v=uNP5o8dLja4
22,RQzW0RT1YSg,My Electric Hummer has a HUGE Problem... and its all my fault.,2022-05-27,1390116,65903,2902,PT15M24S,hd,true,5,2022,Friday,4.74,1,https://www.youtube.com/watch?v=RQzW0RT1YSg
23,5PB3VBK8VJk,Steam Deck Teardown! - There&#39;s a secret inside the track pad...,2022-05-24,623386,30972,1321,PT11M53S,hd,true,5,2022,Tuesday,4.97,0,https://www.youtube.com/watch?v=5PB3VBK8VJk
24,66xbBtnxb5k,Steam Deck Durability Test! - Is the &#39;Upgraded Glass&#39; Worth it?,2022-05-16,837255,37263,2077,PT9M3S,hd,true,5,2022,Monday,4.45,0,https://www.youtube.com/watch?v=66xbBtnxb5k
25,CBJRmJSl-no,TWO YEAR Solar Update!! - Is Do it Yourself Solar Worth it?!,2022-05-13,801440,37079,1515,PT11M8S,hd,true,5,2022,Friday,4.63,0,https://www.youtube.com/watch?v=CBJRmJSl-no
26,S_-xcaI0yYk,The Worlds  *Most*  POWERFUL Truck: The F-150 Lightning,2022-05-11,1054553,39951,3134,PT15M9S,hd,true,5,2022,Wednesday,3.79,1,https://www.youtube.com/watch?v=S_-xcaI0yYk
27,e9KyEgw4PKQ,Xiaomi 12 Pro vs OnePlus 10 Pro - Durability Test!,2022-04-30,1018388,42955,1898,PT8M33S,hd,true,4,2022,Saturday,4.22,1,https://www.youtube.com/watch?v=e9KyEgw4PKQ
28,kYkGsXiRl1w,The ELECTRIC HUMMER projects &#39;coolest&#39; video YET...,2022-04-28,1075591,63957,3483,PT27M55S,hd,true,4,2022,Thursday,5.95,1,https://www.youtube.com/watch?v=kYkGsXiRl1w
29,pJvRavZ2mSk,Transparent Technology - WHERE DID IT GO?!,2022-04-21,481518,28675,1908,PT8M40S,hd,true,4,2022,Thursday,5.96,0,https://www.youtube.com/watch?v=pJvRavZ2mSk
30,EIjjpOJ0ghg,Galaxy Tab S8 Ultra - You think you know... but do you?,2022-04-09,1397685,73475,4778,PT10M24S,hd,true,4,2022,Saturday,5.26,1,https://www.youtube.com/watch?v=EIjjpOJ0ghg
