,Video_ID,Title,Published_Date,View_count,Like_count,Comment_count,Duration,Defintion,Caption,Month,Year,Weekday,LikeRatio,Videos_with_Mill,url
0,hRSGxw2AQnk,The First Punic War - OverSimplified (Part 2),2022-09-02,6647414,314339,16583,PT22M5S,hd,true,9,2022,Friday,4.73,1,https://www.youtube.com/watch?v=hRSGxw2AQnk
1,yRmOWcWdQAo,The First Punic War - OverSimplified (Part 1),2022-09-02,9352610,398884,24400,PT27M34S,hd,true,9,2022,Friday,4.26,1,https://www.youtube.com/watch?v=yRmOWcWdQAo
2,QLq6GEiHqR8,The Pig War - OverSimplified,2021-12-06,20058320,632422,57430,PT38M43S,hd,true,12,2021,Monday,3.15,1,https://www.youtube.com/watch?v=QLq6GEiHqR8
3,mY3SEMTROas,The Napoleonic Wars - OverSimplified (Part 2),2021-05-29,22938811,535770,39022,PT31M13S,hd,true,5,2021,Saturday,2.34,1,https://www.youtube.com/watch?v=mY3SEMTROas
4,zqllxbPWKNI,The Napoleonic Wars  - OverSimplified (Part 1),2021-05-28,34077207,650919,41325,PT29M42S,hd,true,5,2021,Friday,1.91,1,https://www.youtube.com/watch?v=zqllxbPWKNI
5,AAGIi62-sAU,Prohibition - OverSimplified,2020-12-16,33767111,661874,56452,PT33M43S,hd,true,12,2020,Wednesday,1.96,1,https://www.youtube.com/watch?v=AAGIi62-sAU
6,b1reY72ktEc,The Russian Revolution - OverSimplified (Part 2),2020-08-18,21098324,416500,24493,PT24M22S,hd,true,8,2020,Tuesday,1.97,1,https://www.youtube.com/watch?v=b1reY72ktEc
7,Cqbleas1mmo,The Russian Revolution - OverSimplified (Part 1),2020-08-17,28465144,554498,35304,PT21M4S,hd,true,8,2020,Monday,1.95,1,https://www.youtube.com/watch?v=Cqbleas1mmo
8,ewLpXw6uN28,Henry VIII - OverSimplified,2020-05-04,30300835,593997,39004,PT26M47S,hd,true,5,2020,Monday,1.96,1,https://www.youtube.com/watch?v=ewLpXw6uN28
9,sV6uuMAnJUE,The American Civil War  - OverSimplified (Part 2),2020-01-31,25313167,471872,36868,PT22M43S,hd,true,1,2020,Friday,1.86,1,https://www.youtube.com/watch?v=sV6uuMAnJUE
10,tsxmyL7TUJg,The American Civil War - OverSimplified (Part 1),2020-01-31,44993103,614043,55749,PT29M53S,hd,true,1,2020,Friday,1.36,1,https://www.youtube.com/watch?v=tsxmyL7TUJg
11,Cln0J87vulU,The War of the Bucket - OverSimplified,2019-09-21,20293941,442697,23793,PT18M40S,hd,true,9,2019,Saturday,2.18,1,https://www.youtube.com/watch?v=Cln0J87vulU
12,EQmjXM4VK2U,The French Revolution - OverSimplified (Part 2),2019-06-28,23048157,409003,29088,PT22M12S,hd,true,6,2019,Friday,1.77,1,https://www.youtube.com/watch?v=EQmjXM4VK2U
13,8qRZcXIODNU,The French Revolution - OverSimplified (Part 1),2019-06-28,32602055,506087,30892,PT17M54S,hd,true,6,2019,Friday,1.55,1,https://www.youtube.com/watch?v=8qRZcXIODNU
14,26EivpCPHnQ,Three Kingdoms - OverSimplified,2019-04-11,29044530,518449,44017,PT17M23S,hd,true,4,2019,Thursday,1.79,1,https://www.youtube.com/watch?v=26EivpCPHnQ
15,OIYy32RuHao,The Cold War - OverSimplified (Part 2),2019-01-24,34091303,540985,39961,PT17M5S,hd,true,1,2019,Thursday,1.59,1,https://www.youtube.com/watch?v=OIYy32RuHao
16,I79TpDe3t2g,The Cold War - OverSimplified (Part 1),2019-01-24,52026267,705681,45515,PT16M4S,hd,true,1,2019,Thursday,1.36,1,https://www.youtube.com/watch?v=I79TpDe3t2g
17,BXpu6tbFCsI,Emu War - OverSimplified (Mini-Wars #4),2018-11-15,21476044,455940,30019,PT10M8S,hd,true,11,2018,Thursday,2.12,1,https://www.youtube.com/watch?v=BXpu6tbFCsI
18,rtYC2jx1LM0,The American Revolution - OverSimplified (Part 2),2018-08-30,29072450,399642,27214,PT14M41S,hd,true,8,2018,Thursday,1.37,1,https://www.youtube.com/watch?v=rtYC2jx1LM0
19,gzALIXcY4pg,The American Revolution  - OverSimplified (Part 1),2018-08-30,45273214,536071,40079,PT15M8S,hd,true,8,2018,Thursday,1.18,1,https://www.youtube.com/watch?v=gzALIXcY4pg
20,Jl3K63Rbygw,The War that Changed the English Language - Mini-Wars #3,2018-05-24,28064198,401881,17424,PT12M43S,hd,true,5,2018,Thursday,1.43,1,https://www.youtube.com/watch?v=Jl3K63Rbygw
21,_uk_6vfqwTA,WW2 - OverSimplified (Part 1),2018-03-15,75931216,870594,56094,PT13M46S,hd,true,3,2018,Thursday,1.15,1,https://www.youtube.com/watch?v=_uk_6vfqwTA
22,fo2Rb9h788s,WW2 - OverSimplified (Part 2),2018-03-15,49736185,664252,51397,PT15M35S,hd,true,3,2018,Thursday,1.34,1,https://www.youtube.com/watch?v=fo2Rb9h788s
23,W12vb_Crf00,Football War - MiniWars #2,2017-11-06,16490714,297174,12974,PT5M36S,hd,true,11,2017,Monday,1.8,1,https://www.youtube.com/watch?v=W12vb_Crf00
24,BiDvLshi9CY,The Falklands - MiniWars #1,2017-10-22,22294684,342157,30606,PT7M29S,hd,true,10,2017,Sunday,1.53,1,https://www.youtube.com/watch?v=BiDvLshi9CY
25,Dd1JUTA7Ijc,Hitler -  OverSimplified (Part 2),2017-04-18,24300311,370305,21447,PT8M34S,hd,true,4,2017,Tuesday,1.52,1,https://www.youtube.com/watch?v=Dd1JUTA7Ijc
26,ATlila3e9dM,Hitler - OverSimplified (Part 1),2017-04-18,34716053,507178,29629,PT6M30S,hd,true,4,2017,Tuesday,1.46,1,https://www.youtube.com/watch?v=ATlila3e9dM
