,Video_ID,Title,Published_Date,View_count,Like_count,Comment_count,Duration,Defintion,Caption,Month,Year,Weekday,LikeRatio,Videos_with_Mill,url
0,vfFXX7vg1Fs,🔴 Drill Live Radio 24/7,2022-09-16,178,1247,0,P0D,sd,false,9,2022,Friday,700.56,0,https://www.youtube.com/watch?v=vfFXX7vg1Fs
1,q39SnDtw5d8,[FREE] Katy Perry - Last Friday Night (T.G.I.F.) (OFFICIAL DRILL REMIX) (Prod. byrdou),2022-09-16,135,4,1,PT3M27S,hd,false,9,2022,Friday,2.96,0,https://www.youtube.com/watch?v=q39SnDtw5d8
2,Sa9A183WlvE,[FREE] Central Cee x Sample Drill Type Beat - &quot;This is&quot; (Prod. Bando X Emz,2022-09-16,160,9,2,PT3M14S,hd,false,9,2022,Friday,5.62,0,https://www.youtube.com/watch?v=Sa9A183WlvE
3,k-WBSKTp6LY,[FREE] Central Cee x Sample Drill Type Beat - &quot;AM I WRONG&quot; (Prod. Bando X Jordy X Acemelodies),2022-09-16,179,9,1,PT2M58S,hd,false,9,2022,Friday,5.03,0,https://www.youtube.com/watch?v=k-WBSKTp6LY
4,C73GHyJoFW8,[FREE] Alan Walker - Alone [Drill Remix] (Prod. Yvng Finxssa X Vogo) *Drill Type Beat*,2022-09-14,271,13,4,PT1M53S,hd,false,9,2022,Wednesday,4.8,0,https://www.youtube.com/watch?v=C73GHyJoFW8
5,u56_TAO5r9k,[FREE] Lil Tjay Type Beat 2022 - &quot;STARS&quot; (Prod. Yvng Finxssa),2022-09-14,141,9,2,PT3M4S,hd,false,9,2022,Wednesday,6.38,0,https://www.youtube.com/watch?v=u56_TAO5r9k
6,6-ej9M-N2_M,"[FREE] Central Cee - Doja RMX - Sfera, Capo Plaza, Shiva (Mashup by Sounder &amp; @TioMusic)",2022-09-13,351,5,2,PT3M17S,hd,false,9,2022,Tuesday,1.42,0,https://www.youtube.com/watch?v=6-ej9M-N2_M
7,P7F9z13KpxI,[FREE] Kay Flock x Sha Ek x NY Drill Sample Type Beat 2022 - &quot;Monsters&quot; (Prod. Gxbriel),2022-09-12,316,9,3,PT2M11S,hd,false,9,2022,Monday,2.85,0,https://www.youtube.com/watch?v=P7F9z13KpxI
8,f-QLODWKk_w,[FREE] Iyaz-Replay [DRILL REMIX] - &quot;Replay&quot; (Prod. CallumDrewBeatsXProdYoshi),2022-09-11,264,6,1,PT2M45S,hd,false,9,2022,Sunday,2.27,0,https://www.youtube.com/watch?v=f-QLODWKk_w
9,9yncNp-2eIw,[FREE] Kay Flock x Sha Ek x NY Drill Sample Type Beat 2022 - &quot;Lost Boy&quot; (Prod. Gxbriel),2022-09-11,219,9,3,PT2M26S,hd,false,9,2022,Sunday,4.11,0,https://www.youtube.com/watch?v=9yncNp-2eIw
