,Video_ID,Title,Published_Date,View_count,Like_count,Comment_count,Duration,Defintion,Caption,Month,Year,Weekday,LikeRatio,Videos_with_Mill,url
0,npz4xZ8JqcM,The Last of Us Part 1 Remake - Brutal Combat &amp; Fully Loaded New Game Plus Gameplay [4K 60FPS HDR],2022-09-05,249493,6781,696,PT11M16S,hd,false,9,2022,Monday,2.72,0,https://www.youtube.com/watch?v=npz4xZ8JqcM
1,1A9yyT2IBT4,The Last of Us Part 1 Remake - Enhanced Combat &amp; Realistic ULTRA Graphics Gameplay | 4K 60FPS HDR,2022-09-02,107175,4111,497,PT13M42S,hd,false,9,2022,Friday,3.84,0,https://www.youtube.com/watch?v=1A9yyT2IBT4
2,-nzD9T8V7n0,The Last of Us Part 1 Remake - Improved Combat &amp; Realistic Graphics Gameplay | Performance 4K 60FPS,2022-08-31,472789,15105,1640,PT6M58S,hd,false,8,2022,Wednesday,3.19,0,https://www.youtube.com/watch?v=-nzD9T8V7n0
3,_tyQclWIa4Q,The New Upgraded AMAZING Spider-Man Suit Mod &amp; Epic Combat in Spider-Man PC [4K 60FPS Gameplay],2022-08-23,1090397,30729,1267,PT12M25S,hd,false,8,2022,Tuesday,2.82,1,https://www.youtube.com/watch?v=_tyQclWIa4Q
4,W2Ii9gfYeSc,The New AMAZING Spider-Man Suit Mod &amp; Epic Combat in Spider-Man PC [4K 60FPS Gameplay] TASM2 SUIT,2022-08-23,110253,4070,201,PT5M22S,hd,false,8,2022,Tuesday,3.69,0,https://www.youtube.com/watch?v=W2Ii9gfYeSc
5,bHRwXE_K3uE,INSURGENCY SANDSTORM - Brutal Combat &amp; Tactical Gameplay PC Mods Vol. 1 [4K Cinematic Style],2022-08-21,180764,4830,183,PT4M24S,hd,false,8,2022,Sunday,2.67,0,https://www.youtube.com/watch?v=bHRwXE_K3uE
6,04VZhj05820,Spider-Man Venom Symbiote Black Suit Transformation &amp; Aggressive Combat [RTX 3090 4K 60FPS] PC Mods,2022-08-16,65707,2783,196,PT8M6S,hd,false,8,2022,Tuesday,4.24,0,https://www.youtube.com/watch?v=04VZhj05820
7,MOZhwJ8zazU,New Spider-Man Hybrid Nanotech Suit &amp; Aggressive Combat Gameplay [RTX 3090 4K 60FPS HDR] PC Mods,2022-08-07,51479,1666,109,PT6M47S,hd,false,8,2022,Sunday,3.24,0,https://www.youtube.com/watch?v=MOZhwJ8zazU
8,TXRCivfx3sI,THE LAST OF US 2 PS5 - Brutal Combat &amp; Aggressive Ambush Takedowns [4K 60FPS Cinematic Style],2022-07-30,29941,1865,123,PT8M14S,hd,false,7,2022,Saturday,6.23,0,https://www.youtube.com/watch?v=TXRCivfx3sI
9,48B-wlMb71I,"HUNT SHOWDOWN - Brutal Combat &amp; RTX 3090 Ultra Graphics | Sparks Pistol, ALAMO Shotgun [4K 60FPS]",2022-07-29,18182,1349,118,PT4M29S,hd,false,7,2022,Friday,7.42,0,https://www.youtube.com/watch?v=48B-wlMb71I
10,lX-OuaQEc_I,Daredevil Brutal Combat &amp; New Upgraded Suit Mods in Sifu PC Mods [4K HDR 60FPS] REPLAY EDITOR MODE,2022-07-25,17168,1144,128,PT4M58S,hd,false,7,2022,Monday,6.66,0,https://www.youtube.com/watch?v=lX-OuaQEc_I
11,zksHpbuNb74,My RTX 3090 is OVERHEATING with this Game&#39;s Ultra Realistic Graphics - Metro Exodus Enhanced 4K HDR,2022-07-12,58464,2340,196,PT5M8S,hd,false,7,2022,Tuesday,4.0,0,https://www.youtube.com/watch?v=zksHpbuNb74
12,I_jXv8QnwLM,(PS5) HILLCREST HORROR | The Last of Us 2 Brutal Combat &amp; Next-Gen Graphics Gameplay [4K 60FPS HDR],2022-06-13,48713,2743,179,PT9M40S,hd,false,6,2022,Monday,5.63,0,https://www.youtube.com/watch?v=I_jXv8QnwLM
13,XoHbxOnMXKE,The Last of Us 2 PS5 - Brutal Combat &amp; Tactical Stealth Kills | Grounded Mode [4K/60FPS HDR],2022-06-10,44023,2666,167,PT9M15S,hd,false,6,2022,Friday,6.06,0,https://www.youtube.com/watch?v=XoHbxOnMXKE
14,sYWwy98bzDQ,Unleashing MAYHEM in This Fast-Paced Brutal Shooter | TREPANG2 [4K 60FPS HDR Cinematic Style],2022-05-31,59821,3022,201,PT3M51S,hd,false,5,2022,Tuesday,5.05,0,https://www.youtube.com/watch?v=sYWwy98bzDQ
15,WypsrZcTwqY,Batman: Gotham Knight Brutal Combat &amp; New Modded Moves in SIFU Master Mode [4K Cinematic Style],2022-05-21,245008,11791,391,PT5M10S,hd,false,5,2022,Saturday,4.81,0,https://www.youtube.com/watch?v=WypsrZcTwqY
16,ZflXyn5Z7Eo,The Last of Us Part 2 PS5 - Improved Combat &amp; Realistic Graphics Gameplay [4K 60FPS HDR] Grounded,2022-05-08,249981,6979,330,PT8M11S,hd,false,5,2022,Sunday,2.79,0,https://www.youtube.com/watch?v=ZflXyn5Z7Eo
17,3xkMxABdwRE,Darth Vader Brutal Combat &amp; New Lightsaber Modded Moves in Sifu [4K Cinematic Style],2022-05-07,51539,2472,181,PT3M21S,hd,false,5,2022,Saturday,4.8,0,https://www.youtube.com/watch?v=3xkMxABdwRE
18,UhTiLnbpMnM,(PS5) THE ORDER 1886 Looks AMAZING on PS5 | Next-Gen ULTRA Realistic Graphics [4K HDR 60FPS],2022-05-05,44233,2189,158,PT4M49S,hd,false,5,2022,Thursday,4.95,0,https://www.youtube.com/watch?v=UhTiLnbpMnM
19,C4Sj8spHgFQ,Moon Knight Brutal Combat &amp; New Modded Moves in Sifu PC Mods [4K Cinematic Style],2022-04-26,168058,7647,347,PT5M12S,hd,false,4,2022,Tuesday,4.55,0,https://www.youtube.com/watch?v=C4Sj8spHgFQ
20,kp6q8p6Ki1Y,Snake Eyes Brutal Combat &amp; New Modded Ninja Moves in Sifu | G.I. Joe Mods [4K Cinematic Style],2022-04-16,144288,5012,201,PT4M47S,hd,false,4,2022,Saturday,3.47,0,https://www.youtube.com/watch?v=kp6q8p6Ki1Y
21,rfK81rAMFXk,The Batman Brutal Combat &amp; Enhanced Fight Scenes in Sifu PC Mods [4K Cinematic Style],2022-04-05,195964,9708,443,PT5M47S,hd,true,4,2022,Tuesday,4.95,0,https://www.youtube.com/watch?v=rfK81rAMFXk
22,IPIoi1I_gm0,Red Hood Gotham Knights Brutal Combat Fight Scenes &amp; New Moves Gameplay in Sifu [4K Cinematic Style],2022-03-16,249137,10936,474,PT5M27S,hd,false,3,2022,Wednesday,4.39,0,https://www.youtube.com/watch?v=IPIoi1I_gm0
23,9EQFfPbIfes,ELDEN RING | Dark Samurai Brutal Combat &amp; Rivers of Blood BEST Katana Gameplay [4K Cinematic Style],2022-03-04,443735,10391,884,PT6M21S,hd,false,3,2022,Friday,2.34,0,https://www.youtube.com/watch?v=9EQFfPbIfes
24,ybhFYJ0Wvrw,The Batman Brutal Combat &amp; New Modded Moves in Sifu [4K Cinematic Style],2022-03-01,1382446,49762,1828,PT5M46S,hd,false,3,2022,Tuesday,3.6,1,https://www.youtube.com/watch?v=ybhFYJ0Wvrw
25,ckiDEMIzETE,Daredevil Brutal Combat New Modded Moves Fight Scenes in Sifu PC Mods [4K Cinematic Style],2022-02-25,529587,22895,982,PT5M58S,hd,false,2,2022,Friday,4.32,0,https://www.youtube.com/watch?v=ckiDEMIzETE
26,Mn3MU2OR9j4,THE LAST OF US 2 PS5 - Ellie Brutal Combat &amp; Precise Arrow Stealth Kills Vol. 22  [Cinematic Style],2022-02-17,65742,3062,253,PT10M22S,hd,false,2,2022,Thursday,4.66,0,https://www.youtube.com/watch?v=Mn3MU2OR9j4
27,EZLDexTbCJ8,John Wick Brutal Combat &amp; Knife Fight Scenes in Sifu PC Mods [4K Cinematic Style] Replay Editor Tool,2022-02-14,277820,10815,552,PT8M6S,hd,false,2,2022,Monday,3.89,0,https://www.youtube.com/watch?v=EZLDexTbCJ8
28,LIbQAEzXHvI,DYING LIGHT 2 (PC Mods) Brutal Combat &amp; Parkour Gameplay [18+ Only],2022-02-12,90901,3190,192,PT6M3S,hd,false,2,2022,Saturday,3.51,0,https://www.youtube.com/watch?v=LIbQAEzXHvI
29,PO3t9CviYWE,Definitive Kung Fu &amp; Brutal Combat in Sifu | No Damage [4K Cinematic Style],2022-02-07,89385,3728,326,PT8M6S,hd,false,2,2022,Monday,4.17,0,https://www.youtube.com/watch?v=PO3t9CviYWE
30,-3uAUE7jukQ,DYING LIGHT 2 - Brutal Combat &amp; Shotgun Gameplay [18+ Only],2022-02-04,75562,3245,279,PT8M55S,hd,false,2,2022,Friday,4.29,0,https://www.youtube.com/watch?v=-3uAUE7jukQ
31,wdTsyHdAn-Y,Sniper Ghost Warrior Contracts 2 - Brutal Combat &amp; Tactical Stealth Kills Gameplay [Cinematic Style],2022-01-26,294111,5961,279,PT5M16S,hd,false,1,2022,Wednesday,2.03,0,https://www.youtube.com/watch?v=wdTsyHdAn-Y
32,ON7UHC8xNpI,Spider-Man Miles Morales PS5 - Advanced Venom Combat Vol. 2 | Spider-Man: Spider-Verse Suits,2022-01-05,198345,4125,234,PT5M46S,hd,false,1,2022,Wednesday,2.08,0,https://www.youtube.com/watch?v=ON7UHC8xNpI
